Team,Group
Argentina,Group C
Australia,Group D
Belgium,Group F
Brazil,Group G
Cameroon,Group G
Canada,Group F
Costa Rica,Group E
Croatia,Group F
Denmark,Group D
Ecuador,Group A
England,Group B
France,Group D
Germany,Group E
Ghana,Group H
Iran,Group B
Japan,Group E
Korea Republic,Group H
Mexico,Group C
Morocco,Group F
Netherlands,Group A
Poland,Group C
Portugal,Group H
Qatar,Group A
Saudi Arabia,Group C
Senegal,Group A
Serbia,Group G
Spain,Group E
Switzerland,Group G
Tunisia,Group D
USA,Group B
Uruguay,Group H
Wales,Group B